Model,MDO3052
Firmware Version,1.14

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,4.98e-06
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.92
,
,
,
Label,
TIME,CH1
-5.020000e-06,0.002
-5.018000e-06,0.004
-5.016000e-06,0
-5.014000e-06,0.004
-5.012000e-06,0
-5.010000e-06,0.004
-5.008000e-06,-0.002
-5.006000e-06,0.004
-5.004000e-06,0
-5.002000e-06,0.004
-5.000000e-06,-0.002
-4.998000e-06,0.002
-4.996000e-06,0
-4.994000e-06,0.004
-4.992000e-06,0
-4.990000e-06,0.004
-4.988000e-06,0
-4.986000e-06,0.004
-4.984000e-06,-0.002
-4.982000e-06,0.002
-4.980000e-06,0
-4.978000e-06,0.002
-4.976000e-06,0
-4.974000e-06,0.002
-4.972000e-06,-0.002
-4.970000e-06,0
-4.968000e-06,-0.002
-4.966000e-06,0.002
-4.964000e-06,-0.002
-4.962000e-06,0.002
-4.960000e-06,-0.002
-4.958000e-06,0.002
-4.956000e-06,-0.002
-4.954000e-06,0
-4.952000e-06,-0.002
-4.950000e-06,0.002
-4.948000e-06,-0.002
-4.946000e-06,0
-4.944000e-06,0
-4.942000e-06,0
-4.940000e-06,-0.002
-4.938000e-06,0.002
-4.936000e-06,-0.002
-4.934000e-06,0
-4.932000e-06,-0.002
-4.930000e-06,0.002
-4.928000e-06,-0.002
-4.926000e-06,0.002
-4.924000e-06,-0.002
-4.922000e-06,0.002
-4.920000e-06,-0.002
-4.918000e-06,0
-4.916000e-06,-0.004
-4.914000e-06,0.002
-4.912000e-06,-0.004
-4.910000e-06,0.002
-4.908000e-06,-0.002
-4.906000e-06,0
-4.904000e-06,-0.002
-4.902000e-06,0.002
-4.900000e-06,-0.002
-4.898000e-06,0.002
-4.896000e-06,0
-4.894000e-06,0.002
-4.892000e-06,0
-4.890000e-06,0.004
-4.888000e-06,0
-4.886000e-06,0.004
-4.884000e-06,0
-4.882000e-06,0.004
-4.880000e-06,0.002
-4.878000e-06,0.002
-4.876000e-06,0.002
-4.874000e-06,0.004
-4.872000e-06,0
-4.870000e-06,0.006
-4.868000e-06,0
-4.866000e-06,0.004
-4.864000e-06,0.002
-4.862000e-06,0.006
-4.860000e-06,0.002
-4.858000e-06,0.006
-4.856000e-06,0.002
-4.854000e-06,0.004
-4.852000e-06,0
-4.850000e-06,0.004
-4.848000e-06,0
-4.846000e-06,0.006
-4.844000e-06,0.002
-4.842000e-06,0.004
-4.840000e-06,0.002
-4.838000e-06,0.006
-4.836000e-06,0.002
-4.834000e-06,0.006
-4.832000e-06,0.002
-4.830000e-06,0.006
-4.828000e-06,0.002
-4.826000e-06,0.006
-4.824000e-06,0
-4.822000e-06,0.004
-4.820000e-06,0
-4.818000e-06,0.006
-4.816000e-06,0
-4.814000e-06,0.006
-4.812000e-06,0
-4.810000e-06,0.004
-4.808000e-06,-0.002
-4.806000e-06,0.004
-4.804000e-06,0
-4.802000e-06,0.002
-4.800000e-06,-0.002
-4.798000e-06,0.002
-4.796000e-06,0
-4.794000e-06,0.002
-4.792000e-06,0
-4.790000e-06,0.002
-4.788000e-06,-0.002
-4.786000e-06,0.002
-4.784000e-06,-0.002
-4.782000e-06,0.004
-4.780000e-06,-0.002
-4.778000e-06,0.002
-4.776000e-06,-0.002
-4.774000e-06,0.002
-4.772000e-06,-0.002
-4.770000e-06,0.002
-4.768000e-06,-0.002
-4.766000e-06,0.002
-4.764000e-06,-0.002
-4.762000e-06,0.002
-4.760000e-06,-0.002
-4.758000e-06,0.002
-4.756000e-06,-0.002
-4.754000e-06,0.002
-4.752000e-06,-0.002
-4.750000e-06,0.002
-4.748000e-06,0
-4.746000e-06,0
-4.744000e-06,-0.002
-4.742000e-06,0.002
-4.740000e-06,-0.002
-4.738000e-06,0
-4.736000e-06,-0.002
-4.734000e-06,0.002
-4.732000e-06,-0.002
-4.730000e-06,0.002
-4.728000e-06,-0.002
-4.726000e-06,0
-4.724000e-06,-0.002
-4.722000e-06,0
-4.720000e-06,-0.002
-4.718000e-06,0
-4.716000e-06,-0.004
-4.714000e-06,0
-4.712000e-06,-0.002
-4.710000e-06,0
-4.708000e-06,-0.002
-4.706000e-06,0.002
-4.704000e-06,-0.002
-4.702000e-06,0.002
-4.700000e-06,-0.002
-4.698000e-06,0.002
-4.696000e-06,0
-4.694000e-06,0.002
-4.692000e-06,0
-4.690000e-06,0.004
-4.688000e-06,0
-4.686000e-06,0.006
-4.684000e-06,0
-4.682000e-06,0.004
-4.680000e-06,0
-4.678000e-06,0.004
-4.676000e-06,0
-4.674000e-06,0.006
-4.672000e-06,0
-4.670000e-06,0.006
-4.668000e-06,0.002
-4.666000e-06,0.006
-4.664000e-06,0
-4.662000e-06,0.006
-4.660000e-06,0
-4.658000e-06,0.004
-4.656000e-06,0.002
-4.654000e-06,0.004
-4.652000e-06,0.002
-4.650000e-06,0.004
-4.648000e-06,0.002
-4.646000e-06,0.004
-4.644000e-06,0.002
-4.642000e-06,0.004
-4.640000e-06,0.002
-4.638000e-06,0.004
-4.636000e-06,0.002
-4.634000e-06,0.004
-4.632000e-06,0.002
-4.630000e-06,0.004
-4.628000e-06,0.002
-4.626000e-06,0.006
-4.624000e-06,0.002
-4.622000e-06,0.004
-4.620000e-06,0
-4.618000e-06,0.004
-4.616000e-06,0
-4.614000e-06,0.002
-4.612000e-06,0
-4.610000e-06,0.002
-4.608000e-06,0
-4.606000e-06,0.002
-4.604000e-06,-0.002
-4.602000e-06,0.004
-4.600000e-06,0
-4.598000e-06,0.004
-4.596000e-06,0
-4.594000e-06,0.004
-4.592000e-06,-0.002
-4.590000e-06,0.004
-4.588000e-06,0
-4.586000e-06,0.004
-4.584000e-06,-0.002
-4.582000e-06,0.002
-4.580000e-06,0
-4.578000e-06,0
-4.576000e-06,-0.002
-4.574000e-06,0.002
-4.572000e-06,-0.002
-4.570000e-06,0.002
-4.568000e-06,0
-4.566000e-06,0.002
-4.564000e-06,0
-4.562000e-06,0.002
-4.560000e-06,0
-4.558000e-06,0.002
-4.556000e-06,0
-4.554000e-06,0.002
-4.552000e-06,0
-4.550000e-06,0.002
-4.548000e-06,0
-4.546000e-06,0.002
-4.544000e-06,-0.002
-4.542000e-06,0.002
-4.540000e-06,0
-4.538000e-06,0
-4.536000e-06,-0.002
-4.534000e-06,0.002
-4.532000e-06,-0.002
-4.530000e-06,0.002
-4.528000e-06,-0.002
-4.526000e-06,0.002
-4.524000e-06,-0.002
-4.522000e-06,0.002
-4.520000e-06,-0.002
-4.518000e-06,0.002
-4.516000e-06,-0.002
-4.514000e-06,0
-4.512000e-06,-0.002
-4.510000e-06,0.002
-4.508000e-06,-0.002
-4.506000e-06,0
-4.504000e-06,-0.002
-4.502000e-06,0.002
-4.500000e-06,0
-4.498000e-06,0.004
-4.496000e-06,0
-4.494000e-06,0.002
-4.492000e-06,-0.002
-4.490000e-06,0.002
-4.488000e-06,0
-4.486000e-06,0.002
-4.484000e-06,0
-4.482000e-06,0.004
-4.480000e-06,0
-4.478000e-06,0.004
-4.476000e-06,0
-4.474000e-06,0.006
-4.472000e-06,0.002
-4.470000e-06,0.004
-4.468000e-06,0.002
-4.466000e-06,0.006
-4.464000e-06,0.002
-4.462000e-06,0.006
-4.460000e-06,0.002
-4.458000e-06,0.006
-4.456000e-06,0
-4.454000e-06,0.004
-4.452000e-06,0
-4.450000e-06,0.006
-4.448000e-06,0
-4.446000e-06,0.004
-4.444000e-06,0.002
-4.442000e-06,0.006
-4.440000e-06,0.002
-4.438000e-06,0.006
-4.436000e-06,0.002
-4.434000e-06,0.004
-4.432000e-06,0
-4.430000e-06,0.006
-4.428000e-06,0.002
-4.426000e-06,0.006
-4.424000e-06,0.002
-4.422000e-06,0.004
-4.420000e-06,0
-4.418000e-06,0.006
-4.416000e-06,0.002
-4.414000e-06,0.006
-4.412000e-06,0
-4.410000e-06,0.004
-4.408000e-06,0
-4.406000e-06,0.004
-4.404000e-06,0
-4.402000e-06,0.004
-4.400000e-06,0
-4.398000e-06,0.002
-4.396000e-06,0
-4.394000e-06,0.002
-4.392000e-06,0
-4.390000e-06,0.004
-4.388000e-06,-0.002
-4.386000e-06,0.002
-4.384000e-06,-0.002
-4.382000e-06,0.002
-4.380000e-06,-0.002
-4.378000e-06,0.002
-4.376000e-06,0
-4.374000e-06,0.002
-4.372000e-06,-0.002
-4.370000e-06,0.002
-4.368000e-06,-0.002
-4.366000e-06,0.002
-4.364000e-06,0
-4.362000e-06,0.002
-4.360000e-06,0
-4.358000e-06,0.002
-4.356000e-06,-0.002
-4.354000e-06,0
-4.352000e-06,-0.002
-4.350000e-06,0.002
-4.348000e-06,-0.002
-4.346000e-06,0.002
-4.344000e-06,-0.002
-4.342000e-06,0.002
-4.340000e-06,-0.002
-4.338000e-06,0
-4.336000e-06,-0.004
-4.334000e-06,0.002
-4.332000e-06,-0.002
-4.330000e-06,0
-4.328000e-06,-0.002
-4.326000e-06,0
-4.324000e-06,-0.002
-4.322000e-06,0
-4.320000e-06,-0.002
-4.318000e-06,0
-4.316000e-06,-0.002
-4.314000e-06,0.002
-4.312000e-06,-0.002
-4.310000e-06,0
-4.308000e-06,-0.002
-4.306000e-06,0.004
-4.304000e-06,-0.002
-4.302000e-06,0.002
-4.300000e-06,-0.002
-4.298000e-06,0.002
-4.296000e-06,0
-4.294000e-06,0.004
-4.292000e-06,0
-4.290000e-06,0.002
-4.288000e-06,0
-4.286000e-06,0.004
-4.284000e-06,0
-4.282000e-06,0.004
-4.280000e-06,0.002
-4.278000e-06,0.004
-4.276000e-06,0
-4.274000e-06,0.004
-4.272000e-06,0
-4.270000e-06,0.004
-4.268000e-06,0.002
-4.266000e-06,0.006
-4.264000e-06,0
-4.262000e-06,0.004
-4.260000e-06,0.002
-4.258000e-06,0.006
-4.256000e-06,0
-4.254000e-06,0.006
-4.252000e-06,0.002
-4.250000e-06,0.006
-4.248000e-06,0.002
-4.246000e-06,0.006
-4.244000e-06,0.002
-4.242000e-06,0.006
-4.240000e-06,0.002
-4.238000e-06,0.006
-4.236000e-06,0.002
-4.234000e-06,0.006
-4.232000e-06,0.002
-4.230000e-06,0.006
-4.228000e-06,0.002
-4.226000e-06,0.006
-4.224000e-06,0
-4.222000e-06,0.004
-4.220000e-06,0.002
-4.218000e-06,0.004
-4.216000e-06,0
-4.214000e-06,0.004
-4.212000e-06,0
-4.210000e-06,0.004
-4.208000e-06,0
-4.206000e-06,0.004
-4.204000e-06,0
-4.202000e-06,0.002
-4.200000e-06,0
-4.198000e-06,0.002
